station,latitude,longitude,elevation
BCE,37.7064,-112.1456,2312.0
CYVO,48.0564,-77.7867,337.0
CZCR,47.99,-66.3342,38.0
FFA,36.02,-75.67,4.0
CWHQ,46.6907,-71.9717,55.0
UNV,40.85,-77.85,378.0
LMT,42.1469,-121.7242,1247.0
RKD,44.0601,-69.0993,17.0
EQY,35.0169,-80.6206,207.0
CXMM,56.6511,-111.2133,369.0
CXOX,55.1464,-105.2703,379.0
VBG,34.7297,-120.5768,112.0
PAGA,64.7362,-156.9374,46.0
GPZ,47.2111,-93.5097,413.0
BIH,37.3731,-118.3636,1263.0
HKS,32.3348,-90.2225,104.0
8D3,45.6689,-96.9914,351.81
CWPZ,54.3831,-125.9586,713.0
BMC,41.5524,-112.0622,1289.94
CYQI,43.8308,-66.0881,43.0
TOR,42.0647,-104.1528,1282.0
CDS,34.4339,-100.2881,595.0
FYG,38.5876,-90.9938,146.34
CYKJ,57.2564,-105.6175,509.0
RAP,44.0453,-103.0574,964.71
CYAT,52.9275,-82.4319,5.5
MSO,46.9208,-114.0925,972.0
CWIJ,65.7553,-111.2458,500.0
CYWG,49.9167,-97.2333,239.0
SWW,32.4674,-100.4666,727.0
CYRT,62.8114,-92.1158,32.0
CWEQ,52.115,-101.2331,335.0
CYQT,48.3719,-89.3239,199.0
CYBU,53.3325,-104.0083,374.0
LSF,32.3373,-84.9913,71.0
PSP,33.8297,-116.5067,141.0
CXAG,53.9169,-112.2792,625.0
